"","address","latitude","longitude"
"116","Untere Zäune 21, 8001  Zürich, Switzerland",47.3717963,8.54540556467047
"117","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"118","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"119","Marktgasse 7/9, 8001  Zürich, Switzerland",47.3718023,8.5428324
"120","Schützengasse 32, 8001  Zürich, Switzerland",47.37711945,8.53757011718026
"121","Kuttelgasse 3, 8001  Zürich, Switzerland",47.37285,8.53930786076233
"122","Strehlgasse 9, 8001  Zürich, Switzerland",47.3717253,8.54111261568006
"123","Niederdorfstrasse 5, 8001  Zürich, Switzerland",47.3729061,8.5436598
"124","Schwanengasse 5, 8001  Zürich, Switzerland",47.3720376,8.541169
"125","Pfalzgasse 2/4, 8001  Zürich, Switzerland",47.3724952,8.5407329
"126","Oberdorfstrasse 2, 8001  Zürich, Switzerland",47.3682948,8.5459868
"127","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"128","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"129","8001  Zürich, Switzerland",47.3705688,8.53744305065265
"130","Untere Zäune 21, 8001  Zürich, Switzerland",47.3717963,8.54540556467047
"131","Scheitergasse 10, 8001  Zürich, Switzerland",47.36869965,8.54506527137312
"132","Predigerplatz 18, 8001  Zürich, Switzerland",47.3734947,8.54544036676966
"133","Münsterhof 9, 8001  Zürich, Switzerland",47.37029325,8.54039444834194
"134","Kuttelgasse 15, 8001  Zürich, Switzerland",47.3727572,8.5389234
"135","Strehlgasse 9, 8001  Zürich, Switzerland",47.3717253,8.54111261568006
"136","Weinbergfussweg 4, 8001  Zürich, Switzerland",47.3790061,8.5446289
"137","Basteiplatz 3, 8001  Zürich, Switzerland",47.3695538,8.5360712043528
"138","Schützengasse 32, 8001  Zürich, Switzerland",47.37711945,8.53757011718026
"139","Münstergasse 14, 8001  Zürich, Switzerland",47.37112495,8.54467583514067
"140","arkt 8, 8001  Zürich, Switzerland",NA,NA
"141","Löwenstrasse 43, 8001  Zürich, Switzerland",47.375927,8.5368796
"142","Waldmannstrasse 12a, 8001  Zürich, Switzerland",47.3685088,8.5466004
"143","Münsterhof 11, 8001  Zürich, Switzerland",47.37035095,8.5404530725
"144","Münsterhof 9, 8001  Zürich, Switzerland",47.37029325,8.54039444834194
"145","8001  Zürich, Switzerland",47.3705688,8.53744305065265
